0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
"@mikepsilva I will be waiting to hear from your great detailed analyses, very nice coverage, I also enjoyed the dol… https://t.co/GgzXKTl2MW",  i will be waiting to hear from your great detailed analyses  very nice coverage  i also enjoyed the dol   ,0.6200000000000001,0.8,positive,0.0,0.572,0.428,0.8883
Aye wtf. That 2 dollar raise .. I make less money now 😭😭,aye wtf  that 2 dollar raise    i make less money now   ,-0.3333333333333333,0.5333333333333333,negative,0.322,0.678,0.0,-0.5859
RT @TheEconomist: The Kremlin had Alexei Navalny locked up on bogus charges. He responded with a sumptuous video of Vladimir Putin's billio…, the kremlin had alexei navalny locked up on bogus charges  he responded with a sumptuous video of vladimir putin s billio ,0.0,0.0,negative,0.104,0.896,0.0,-0.2732
Pretend you have a trillion dollar police system and have people working the areas you know need improvement.,pretend you have a trillion dollar police system and have people working the areas you know need improvement ,0.0,0.0,positive,0.072,0.773,0.155,0.3818
"@FarmerBrownDeFi sorry I sold all mine to buy $DOGE at 8¢... it’s going to a dollar, right?",  sorry i sold all mine to buy  doge at 8     it s going to a dollar  right ,-0.10714285714285715,0.7678571428571428,negative,0.098,0.902,0.0,-0.0772
I made a complaint to Colourpop about my items since they were shipped terribly and my items came broken and they o… https://t.co/dj14C6GAdt,i made a complaint to colourpop about my items since they were shipped terribly and my items came broken and they o   ,-0.5666666666666668,0.5333333333333333,negative,0.357,0.643,0.0,-0.836
"The future multi-billion dollar #defi hedge fund. 

$YZY DAO. 

Farm $wbtc $yfi $weth with #YZYDAO. 

Sunday.
We th… https://t.co/kSKYzwkjTU",the future multi billion dollar  defi hedge fund     yzy dao    farm  wbtc  yfi  weth with  yzydao    sunday  we th   ,0.0,0.125,neutral,0.0,1.0,0.0,0.0
"‘A Manitoba man has put a one-of-a-kind Bobby Orr rookie hockey card up for auction, hoping it will surpass the mil… https://t.co/rvbLaP2U95", a manitoba man has put a one of a kind bobby orr rookie hockey card up for auction  hoping it will surpass the mil   ,0.6,0.9,positive,0.0,0.754,0.246,0.7351
@CajeroAirTmVe Eso no es noticia nueva desde que se creó primero dollar today ahora esta otra pagina ha sido así,  eso no es noticia nueva desde que se cre  primero dollar today ahora esta otra pagina ha sido as ,0.0,0.0,positive,0.102,0.787,0.111,0.0516
"Deserved. They're a billion dollar corporation, they have more than enough to treat their employees the right way. https://t.co/q7d1fwGgYu",deserved  they re a billion dollar corporation  they have more than enough to treat their employees the right way   ,0.2619047619047619,0.5119047619047619,positive,0.0,0.863,0.137,0.4019
"RT @tmj_neg_jobs: Dollar General is looking for teammates like you. See our latest #Retail job openings, including ""ASST STORE MGR in BLUE…", dollar general is looking for teammates like you  see our latest  retail job openings  including  asst store mgr in blue ,0.18333333333333335,0.5,positive,0.0,0.884,0.116,0.3612
This is hilarious. Amazing what a threat of a multi billion dollar lawsuit can do sometimes! https://t.co/QENTKb00gK,this is hilarious  amazing what a threat of a multi billion dollar lawsuit can do sometimes   ,0.55,0.95,positive,0.243,0.459,0.298,0.296
Did we just get a 15 dollar minimum wage,did we just get a 15 dollar minimum wage,0.0,0.0,neutral,0.0,1.0,0.0,0.0
Amazon a billion dollar company being ran like a mom and pop joint,amazon a billion dollar company being ran like a mom and pop joint,0.0,0.0,positive,0.0,0.682,0.318,0.4939
"RT @Jon_Blau: “This is a kid that, honestly, as a coach, if I didn’t have to share him with the world, I’d keep him until I retired.""

More…",  this is a kid that  honestly  as a coach  if i didn t have to share him with the world  i d keep him until i retired    more ,0.55,0.7,positive,0.0,0.785,0.215,0.6369
"Dollar General is looking for teammates like you. See our latest #Retail job openings, including ""ASST STORE MGR in… https://t.co/JZHSaNqzMs",dollar general is looking for teammates like you  see our latest  retail job openings  including  asst store mgr in   ,0.275,0.7,positive,0.0,0.878,0.122,0.3612
@hsbanik @JoyceD52947918 @sacmac11 @MercerCreed @SpinneyJr @FiestyKiwi @KraigtheBunny @WarrenJPierce… https://t.co/Z9YdnJys2n,                  ,0.0,0.0,neutral,0.0,0.0,0.0,0.0
"@seattletimes I once encountered a homeless woman outside of Whole Foods. Sign read, A Poem for a Dollar. It was a… https://t.co/QWnRqF6KGD",  i once encountered a homeless woman outside of whole foods  sign read  a poem for a dollar  it was a   ,0.1,0.225,neutral,0.0,1.0,0.0,0.0
"RT @DemesquitaAlex: Get ready for February $AABB
#gold
#cryptocurrency backed by gold under development 
Completed $80 million dollar sale…", get ready for february  aabb  gold  cryptocurrency backed by gold under development  completed  80 million dollar sale ,0.2,0.5,positive,0.0,0.806,0.194,0.3818
"RT @TheOtherMandela: ""100 Billion Dollar Quarter""
https://t.co/hT0zwCS6yb",  100 billion dollar quarter   ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
@MEPFuller Newsmax sees the two 1.3 billion dollar lawsuits and wants no part of that now...how quick they turned,  newsmax sees the two 1 3 billion dollar lawsuits and wants no part of that now   how quick they turned,0.26666666666666666,0.3,negative,0.192,0.808,0.0,-0.4215
@Bit_Reckless wait until he finds out about the dollar,  reckless wait until he finds out about the dollar,0.0,0.0,negative,0.252,0.748,0.0,-0.4019
"Origin Dollar is currently earning 156.62% APY. 🚀🚀

Upgrade your stablecoins to $OUSD now. 

https://t.co/qJnUdZCrjn https://t.co/iTqUsVWiuX",origin dollar is currently earning 156 62  apy      upgrade your stablecoins to  ousd now       ,0.0,0.4,neutral,0.0,1.0,0.0,0.0
"@SanDarvian @Cristiano @realmadridfem @juventusfcen No choice at all
Accepting the truth is just da best thing ever… https://t.co/YenbmjDZ3x",        no choice at all accepting the truth is just da best thing ever   ,1.0,0.3,positive,0.108,0.443,0.448,0.7845
@mmmaiammm1 @DougzInBoston @atahuallpa13 @JasonSCampbell I hope that they do. @dominionvoting Y'all need to make th… https://t.co/5zStYquSS4,        i hope that they do    y all need to make th   ,0.0,0.0,positive,0.0,0.734,0.266,0.4404
"@thevivafrei

https://t.co/Io9WKcMVKx",    ,0.0,0.0,neutral,0.0,0.0,0.0,0.0
RT @BlockClubCHI: Chicago Joe's has closed permanently. The owners are selling to a developer who wants to build million-dollar condos. htt…, chicago joe s has closed permanently  the owners are selling to a developer who wants to build million dollar condos  htt ,0.05,0.1,neutral,0.0,1.0,0.0,0.0
"YELLEN SAYS CBO FORECAST SHOWS 'WE DESPERATELY NEED CONGRESS TO ACT' ON RESCUE PACKAGE

And by rescue package she m… https://t.co/FlGDYcIZwa",yellen says cbo forecast shows  we desperately need congress to act  on rescue package  and by rescue package she m   ,-0.6,1.0,positive,0.103,0.635,0.262,0.6124
A dollar might just make that lane switch....,a dollar might just make that lane switch    ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
"“This is a kid that, honestly, as a coach, if I didn’t have to share him with the world, I’d keep him until I retir… https://t.co/zOXLAG5eiZ", this is a kid that  honestly  as a coach  if i didn t have to share him with the world  i d keep him until i retir   ,0.6,0.9,positive,0.0,0.776,0.224,0.6369
@s4nrio_w1tch Ross is a store that buys leftover products/things that didn't sell from manufacturers or other store… https://t.co/6M1TlsuMI4,  w1tch ross is a store that buys leftover products things that didn t sell from manufacturers or other store   ,-0.125,0.375,neutral,0.0,1.0,0.0,0.0
"RT @Smart_Reads: Who has a dollar to burn and 10 minutes to spend?

Get Your Hands on The Reviewer
#amwriting #WritersLife #Humor #Satire #…", who has a dollar to burn and 10 minutes to spend   get your hands on the reviewer  amwriting  writerslife  humor  satire   ,0.0,0.0,positive,0.0,0.9,0.1,0.2732
@SortofSalient That there's an awful lot of five dollar words where saying nothing would've been fine and better.,  that there s an awful lot of five dollar words where saying nothing would ve been fine and better ,-0.027777777777777752,0.6666666666666666,positive,0.132,0.661,0.207,0.1779
"@benshirleyx knowledge is power i believe I need a dollar dollar, a dollar is what I need
Hey hey
Well I need a dol… https://t.co/ipccjsPjHA",  knowledge is power i believe i need a dollar dollar  a dollar is what i need hey hey well i need a dol   ,0.0,0.0,positive,0.0,0.877,0.123,0.2732
"RT @VTownGotSmoke: @votevets I;m guessing @newsmax doesn't want to be party to a billion dollar lawsuit!

https://t.co/EkFjJOcv6a",   i m guessing   doesn t want to be party to a billion dollar lawsuit    ,0.0,0.0,positive,0.147,0.543,0.31,0.2732
"@johngabie83 @cloakzy @RavenSoftware Multi-billion dollar company btw. Cant be that hard, it's not like your trying… https://t.co/zzffkFU7UJ",      multi billion dollar company btw  cant be that hard  it s not like your trying   ,-0.2916666666666667,0.5416666666666666,negative,0.137,0.779,0.084,-0.2057
"RT @TicTocTick: The fact is $tlry stock has won. And it has delivered 8 dollars on a 18 dollar stock in one day. 

RT if u agree or if u we…", the fact is  tlry stock has won  and it has delivered 8 dollars on a 18 dollar stock in one day    rt if u agree or if u we ,0.0,0.0,positive,0.0,0.788,0.212,0.7351
@SpartyMyTake Best dollar spent of all time,  best dollar spent of all time,0.45,0.2,positive,0.0,0.543,0.457,0.6369
RT @WorkingFamilies: Democrats in Congress should not waste a single day or shrink their relief package by a single dollar in pursuit of vo…, democrats in congress should not waste a single day or shrink their relief package by a single dollar in pursuit of vo ,-0.014285714285714282,0.14285714285714285,positive,0.0,0.768,0.232,0.6632
RT @unclesam308: This bitch worth every dollar I give her, this bitch worth every dollar i give her,0.3,0.1,negative,0.355,0.467,0.178,-0.4404
@LotaInsLotaOuts @ScottMStedman Which is why they are doing test flights like this? So that when things RUD they do… https://t.co/hHqTuIALqu,    which is why they are doing test flights like this  so that when things rud they do   ,0.0,0.0,positive,0.0,0.865,0.135,0.3612
The amount of people in my mentions trying so hard to defend a billion dollar studio corporation is wild af to me.,the amount of people in my mentions trying so hard to defend a billion dollar studio corporation is wild af to me ,-0.09583333333333334,0.4708333333333333,negative,0.085,0.915,0.0,-0.2183
RT @FishmanLevine: Joe Manchin Says He Does Not Support $15 Minimum Wage          https://t.co/WTWEZ7ztE7 via @dailycaller, joe manchin says he does not support  15 minimum wage            via  ,0.0,0.0,negative,0.184,0.816,0.0,-0.3089
RT @ShahidaQureshi5: @sarwatvalim @GovtofPunjabPK @UsmanAKBuzdar Bibi iss statue kae barae kiya opinion hae jo 11 million dollar laga ker b…,       bibi iss statue kae barae kiya opinion hae jo 11 million dollar laga ker b ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
@Reuters @Breakingviews @TheRealLSL I don’t see how an app allowing women to make the 1st move is a 6 billion dolla… https://t.co/3q98jHmlg2,      i don t see how an app allowing women to make the 1st move is a 6 billion dolla   ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
"We're hiring in #CoeurDAlene, ID! Click the link in our bio to apply to this job and more: Sales Associate at Dollar Tree #Sales",we re hiring in  coeurdalene  id  click the link in our bio to apply to this job and more  sales associate at dollar tree  sales,0.5,0.5,neutral,0.0,1.0,0.0,0.0
"RT @Lakeshoredrives: I assume Aaron Judge was this size as a 3 y/o
Put a bat in his hand and watch them 300 million dollar contracts come in", i assume aaron judge was this size as a 3 y o put a bat in his hand and watch them 300 million dollar contracts come in,0.0,0.0,positive,0.0,0.862,0.138,0.4939
she worth every dollar and she worth every minute https://t.co/ApHJWYr7FK,she worth every dollar and she worth every minute  ,0.3,0.1,positive,0.0,0.648,0.352,0.4215
RT @tadi_dzue: Zimbabweans don’t respect the US Dollar, zimbabweans don t respect the us dollar,0.0,0.0,positive,0.0,0.617,0.383,0.4767
@KnightFN_ Hey knight's mom. Im ready to make a financial statement for ur son after he rolled all the competition… https://t.co/qrb1RgBJk7,   hey knight s mom  im ready to make a financial statement for ur son after he rolled all the competition   ,0.1,0.25,positive,0.0,0.872,0.128,0.3612
RT @allykat2001: @Lostpassword7 @burgessev https://t.co/nlJN5RBLeL,      ,0.0,0.0,neutral,0.0,0.0,0.0,0.0
"All of this leaves us @HobokenMatters to wonder, would a billion dollar developer such as @IronstateDevlop truly gi… https://t.co/Vb7hB9qh55",all of this leaves us   to wonder  would a billion dollar developer such as   truly gi   ,0.0,0.5,positive,0.0,0.828,0.172,0.4404
"RT @DAJustAsking: ""If you threaten my life, then I'm going to threaten yours"".

https://t.co/ZgEUWOCFAQ via @Yahoo",  if you threaten my life  then i m going to threaten yours      via  ,0.0,0.0,negative,0.366,0.634,0.0,-0.6369
"@JoskoKoko @mattysino hot pot is a type of Chinese food. 

Serum candle meaning SRM going up a dollar. 

Serum meaning project serum.",    hot pot is a type of chinese food    serum candle meaning srm going up a dollar    serum meaning project serum ,0.125,0.42500000000000004,neutral,0.0,1.0,0.0,0.0
"RT @azdedo: “When the state sits on a billion-dollar rainy day fund and projects a two-billion-dollar surplus, there is no excuse to not fu…",  when the state sits on a billion dollar rainy day fund and projects a two billion dollar surplus  there is no excuse to not fu ,0.025,0.05,positive,0.127,0.69,0.183,0.3691
My 7 year old niece told me she was starting a business today. She plans on selling her art for one dollar a pictur… https://t.co/2edTki13Qt,my 7 year old niece told me she was starting a business today  she plans on selling her art for one dollar a pictur   ,0.05,0.15000000000000002,neutral,0.0,1.0,0.0,0.0
"Nervous to apply for a job like ""Dollar Tree - Sales Floor Associate $16-$35/hr"" at Dollar Tree? Apply even if you'… https://t.co/uoZXSEWSka",nervous to apply for a job like  dollar tree   sales floor associate  16  35 hr  at dollar tree  apply even if you    ,0.0,0.0,positive,0.089,0.805,0.106,0.1027
@ladydog44 BB is such a bad man putting two rings on Dolas fingers!  He then chose dollar over rings!,  bb is such a bad man putting two rings on dolas fingers   he then chose dollar over rings ,-0.3499999999999999,0.5833333333333333,negative,0.179,0.821,0.0,-0.5423
@jakeduceyauthor Funny how realestate agents get a % commission and that doesn’t change but the dollar value per sa… https://t.co/H9sbodBJE1,  funny how realestate agents get a   commission and that doesn t change but the dollar value per sa   ,0.25,1.0,positive,0.0,0.735,0.265,0.6187
I have made billions and will give everyone who follows me a dollar if I make another billion 🤣$DOGE,i have made billions and will give everyone who follows me a dollar if i make another billion   doge,0.0,0.0,neutral,0.0,1.0,0.0,0.0
@emandjulian @wanderingpagess then u come fix my teeth and i’ll give u a dollar or two,    then u come fix my teeth and i ll give u a dollar or two,0.0,0.0,neutral,0.0,1.0,0.0,0.0
"RT @techbuildafrica: Luno launches USDC Coin, expands “Digital Dollar” Market https://t.co/Ljs65VeVPP https://t.co/7Am0lSitQ6", luno launches usdc coin  expands  digital dollar  market    ,0.0,0.0,positive,0.0,0.833,0.167,0.1027
"You really can't watch this without laughing. 😂😂

Dominion and that billion dollar lawsuit has em rattled! https://t.co/clmFoHbfDb",you really can t watch this without laughing      dominion and that billion dollar lawsuit has em rattled   ,0.2,0.2,negative,0.244,0.756,0.0,-0.5466
@LiveSquawk Easy money for all. Kill dóllar. All happy,  easy money for all  kill d llar  all happy,0.6166666666666667,0.9166666666666667,positive,0.288,0.307,0.405,0.2263
@SoccerMomTrades The best part is how all these billionaires cheering them on don't even have a dollar of their own in any of these stocks,  the best part is how all these billionaires cheering them on don t even have a dollar of their own in any of these stocks,0.8,0.65,positive,0.0,0.737,0.263,0.8176
"The way I’ve been saving 
i want even cent, dollar, bill, shilling and coin.",the way i ve been saving  i want even cent  dollar  bill  shilling and coin ,0.0,0.0,positive,0.0,0.902,0.098,0.0772
@BrothaShizz @Robfrfr Brooooooo I had a conversation earlier today with shordy. She talking about getting her candy… https://t.co/UGr95eqLNA,    brooooooo i had a conversation earlier today with shordy  she talking about getting her candy   ,0.0,0.5,neutral,0.0,1.0,0.0,0.0
